user_id,reorder_proportion
2,0.038461538461538464
4,0.0
5,0.6666666666666666
6,0.0
7,0.9285714285714286
11,0.2
12,0.25
13,0.5652173913043478
14,0.36065573770491804
15,0.5384615384615384
16,0.53125
17,0.7169811320754716
19,0.2916666666666667
20,0.0
21,0.4
22,1.0
24,0.5
26,0.4375
27,0.6588235294117647
28,0.5
29,0.8461538461538461
30,0.0
31,0.30434782608695654
33,0.47058823529411764
34,0.0
35,0.48484848484848486
36,0.6666666666666666
37,0.2857142857142857
38,0.5263157894736842
40,0.4166666666666667
42,0.14285714285714285
43,0.36363636363636365
46,0.7
47,0.3333333333333333
50,0.7083333333333334
52,0.5
54,0.6144578313253012
56,0.48148148148148145
57,0.0
58,0.5555555555555556
59,0.4
60,0.5333333333333333
61,0.25
62,0.4444444444444444
63,0.7352941176470589
65,0.42857142857142855
66,0.0
67,0.5294117647058824
68,1.0
69,0.8
70,0.5
71,0.9545454545454546
72,0.8
73,0.8
74,0.25
75,0.8043478260869565
77,0.41025641025641024
78,0.0
79,0.25
80,0.8666666666666667
81,0.42857142857142855
82,0.8928571428571429
83,0.5555555555555556
86,0.4
87,0.6326530612244898
88,1.0
89,0.5
90,0.7739130434782608
91,0.5121951219512195
94,0.15384615384615385
96,0.5
97,1.0
98,0.75
99,0.44
101,0.0
102,0.6666666666666666
103,0.6875
104,1.0
105,0.3333333333333333
107,0.1
108,0.4
109,0.0
110,0.5454545454545454
111,0.0
112,0.36363636363636365
113,1.0
115,0.4
117,0.0
118,0.5652173913043478
122,0.6666666666666666
123,0.6666666666666666
124,0.4
125,0.6666666666666666
126,0.5
127,0.7551020408163265
128,0.0
129,0.5714285714285714
132,0.8
133,0.5537190082644629
137,0.8571428571428571
138,0.7142857142857143
140,0.6705202312138728
142,0.7254901960784313
143,0.0
144,0.5714285714285714
145,0.5555555555555556
146,0.8297872340425532
147,0.7142857142857143
149,0.4852941176470588
150,0.4915254237288136
151,0.30357142857142855
152,0.7446808510638298
153,0.8518518518518519
154,0.6666666666666666
155,0.8571428571428571
156,0.625
157,0.5
159,0.325
160,0.6363636363636364
161,0.5161290322580645
162,0.36363636363636365
164,0.6923076923076923
165,0.0
168,0.3333333333333333
170,0.0
171,0.0
173,0.48484848484848486
174,0.631578947368421
175,0.2222222222222222
176,0.0
178,1.0
181,0.625
182,0.7209302325581395
183,0.4444444444444444
184,0.18518518518518517
186,0.125
187,0.5806451612903226
188,0.15555555555555556
189,0.4
190,0.6153846153846154
191,0.4
192,1.0
193,0.1
194,0.2727272727272727
195,0.6071428571428571
197,0.5060240963855421
200,0.5671641791044776
201,0.75
202,0.5135135135135135
203,0.0
204,0.68
205,0.7
206,0.5357142857142857
