product_id,product_name,reorder_proportion
1,Chocolate Sandwich Cookies,0.5642857142857143
2,All-Seasons Salt,0.0
3,Robust Golden Unsweetened Oolong Tea,0.7380952380952381
4,Smart Ones Classic Favorites Mini Rigatoni With Vodka Cream Sauce,0.5102040816326531
7,Pure Coconut Water With Orange,0.5
8,Cut Russet Potatoes Steam N' Mash,0.3157894736842105
9,Light Strawberry Blueberry Yogurt,0.7619047619047619
10,Sparkling Orange Juice & Prickly Pear Beverage,0.44807121661721067
11,Peach Mango Juice,0.625
12,Chocolate Fudge Layer Cake,0.3902439024390244
13,Saline Nasal Mist,0.5
14,Fresh Scent Dishwasher Cleaner,0.0
17,Rendered Duck Fat,0.0
18,Pizza for One Suprema  Frozen Pizza,0.5333333333333333
19,Gluten Free Quinoa Three Cheese & Mushroom Blend,0.0
21,Small & Medium Dental Dog Treats,0.0
22,Fresh Breath Oral Rinse Mild Mint,0.5
23,Organic Turkey Burgers,0.38095238095238093
24,Tri-Vi-Sol® Vitamins A-C-and D Supplement Drops for Infants,0.0
25,Salted Caramel Lean Protein & Fiber Bar,0.6745762711864407
26,Fancy Feast Trout Feast Flaked Wet Cat Food,0.6730769230769231
27,Complete Spring Water Foaming Antibacterial Hand Wash,0.36
28,Wheat Chex Cereal,0.5128205128205128
29,Fresh Cut Golden Sweet No Salt Added Whole Kernel Corn,0.41379310344827586
30,Three Cheese Ziti- Marinara with Meatballs,0.6666666666666666
31,White Pearl Onions,0.2
32,Nacho Cheese White Bean Chips,0.6323529411764706
33,Organic Spaghetti Style Pasta,0.6
34,Peanut Butter Cereal,0.5921483097055616
35,Italian Herb Porcini Mushrooms Chicken Sausage,0.3023255813953488
36,Traditional Lasagna with Meat Sauce Savory Italian Recipes,0.16
37,Noodle Soup Mix With Chicken Broth,0.45454545454545453
38,Unknown,0.0
39,Daily Tangerine Citrus Flavored Beverage,0.0
40,Beef Hot Links Beef Smoked Sausage With Chile Peppers,0.4666666666666667
41,Organic Sourdough Einkorn Crackers Rosemary,0.6666666666666666
43,Organic Clementines,0.1724137931034483
44,Sparkling Raspberry Seltzer,0.5423728813559322
45,European Cucumber,0.6464919043947571
46,Raisin Cinnamon Bagels 5 count,0.6666666666666666
47,Onion Flavor Organic Roasted Seaweed Snack,0.5238095238095238
48,School Glue- Washable- No Run,0.0
49,Vegetarian Grain Meat Sausages Italian - 4 CT,0.5676567656765676
50,Pumpkin Muffin Mix,0.27906976744186046
51,Sa Extra Hold Mousse Hair Styling,0.0
52,Mirabelle Brut Rose,0.0
53,Whole Leaf Pure Aloe With Lemon Juice,0.28
54,24/7 Performance Cat Litter,0.6037735849056604
55,Lasting Color Shampoo,0.0
56,Healthy Pop Butter Popcorn,0.0
57,Flat Toothpicks,0.08
58,Whole Wheat Tortillas,0.5
59,Medium Taqueria Style Chipotle Salsa,0.5
60,Cheesy Creations Roasted Garlic Parmesan Sauce,0.16666666666666666
61,Ramen Noodles Soup Chicken Mushroom Flavor,0.0
62,Premium Deli Oven Roasted Turkey Breast,0.42857142857142855
63,Banana & Sweet Potato Organic Teething Wafers,0.5503355704697986
64,Autumn Vegetable & Turkey Dinner with Lil' Bits Purees Dinner,0.5
65,Organic Red Wine & Olive Oil Dressing Organic,0.4
66,European Style Spring Mix,0.5714285714285714
67,Jelly- Blackberry,0.0
68,Pancake Mix- Buttermilk,0.4
69,Vanilla with Almond Milk Iced Coffee,0.3333333333333333
70,Sweet Cooking Rice Seasoning,0.1111111111111111
71,Ultra 7 Inch Polypropylene Traditional Plates,0.0
73,Jasmine Tea Unfiltered Ginger Ale,0.25
74,Artisan Chick'n & Apple Sausage,0.34615384615384615
